ID,Sílaba,Contexto,Find,Replace,Exemplo
A11,^ˈVC,"Seleciona a posição anterior à sequência monossilábica VC, terminada em consoante",(?<!ˈ.*)(?=^[aeiou][rlsz]$),ˈ,Origin Word: ar -> Processed Word: ˈar
A12,ˈCVVC,Seleciona a posição anterior a C seguido de <ais> (a não confundir com a sequência vocálica V.V [ɐi]),(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)ais$),ˈ,Origin Word: mais -> Processed Word: ˈmais
A13,Vˈ.VC,"Seleciona a fronteira entre sequência silábica V.V, seguida de consoante <r> em coda final",(?<!ˈ.*)(?<=a)(?=i[r]$),ˈ,Origin Word: cair -> Processed Word: caˈir
A14,V.ˈVC,Seleciona a fronteira silábica entre sequência heterossilábica V.V terminada em consoante,(?<!ˈ.*)(?<=[ieo])(?=[aeo][rszl]$),ˈ,Origin Word: voar -> Processed Word: voˈar
A15,CV.ˈVC,"Seleciona a fronteira silábica entre a sequência CV e VC ([ua]), terminada em consoante",(?<!ˈ.*)(?<=[bcçdfhjklmnpsrtvxwz]u)(?=a[rszl]$),ˈ,Origin Word: continuar -> Processed Word: continuˈar
A16,"ˈCVG, ˈCCVG","Seleciona a posição anterior às sequências CVG e CCVG final, à exceção de <h>, <r>, <l> e <s> em ataque silábico, terminadas em consoante",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(ai|ei|oi|ui|ao|au|eu|iu|ou)$),ˈ,Origin Word: bacalhau -> Processed Word: bacaˈlhau
A17,ˈCVG,"Seleciona a posição anterior à sequência CVG com <r> em ataque silábico, terminada em ditongo oral",(?<!ˈ.*)(?<![pbtdcgfvr])(?=r(ai|ei|oi|ui|ao|au|eu|iu|ou)$),ˈ,Origin Word: rei -> Processed Word: ˈrei
A18,ˈCVG,"Seleciona a posição anterior à sequência CVG com <s> em ataque silábico, terminada em ditongo oral",(?<!ˈ.*)(?<!s)(?=s(ai|ei|oi|ui|ao|au|eu|iu|ou)$),ˈ,Origin Word: museu -> Processed Word: muˈseu
A19,^ˈVG,Seleciona a posição anterior à sequência monossilábica ˈVG,(?<!ˈ.*)(?=^(ai|ei|oi|ui|au|eu|iu|ou)$),ˈ,Origin Word: eu -> Processed Word: ˈeu
A20,ˈCṼ,"Seleciona a posição anterior à sequência CṼ, à exceção de <h>, <l>, <r> e <s> em ataque silábico",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aiou][m]$),ˈ,Origin Word: assim -> Processed Word: aˈssim
A21,^ˈCṼ,"Seleciona a posição anterior à sequência CṼ monossilábica, com <h>, <l>, <r> ou <s> em ataque silábico",(?<!ˈ.*)(?=^[hlrs][aiou][m]$),ˈ,Origin Word: sim -> Processed Word: ˈsim
A22,^ˈCṼG̃,"Seleciona a posição anterior à sequência CṼG̃ monossilábica, à exceção de <h>, <l> e <r> em ataque silábico",(?<!ˈ.*)(?=^(b|c|ç|d|f|gu|g|ch|j|m|n|p|qu|r|s|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(em)$),ˈ,Original Word: bem -> Processed Word: ˈbem
A23,ˈCV,"Seleciona a posição anterior à sequência CV, terminada em <i>",(?<!ˈ.*)(?<=(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[i]$),ˈ,Origin Word: ali -> Processed Word: aˈli
