ID,Contexto fonético,Find,Replace,Exemplo
T49,Seleciona todos os <e> átonos em fronteira inicial de palavra,(?<!ˈ)^e(?![juɫs̃]),e / i,Origin Word: eˈquipɐ -> Processed Word: e / iˈquipɐ
T50,Seleciona todos os <es> átonos em fronteira inicial de palavra,(?<!ˈ)^es(?![aaɐeêɛɨioôɔuwɐ̃ẽĩõũ]),ɨʃ,Origin Word: esˈcolɐ -> Processed Word: ɨʃˈcolɐ
T51,"Seleciona todos os <a> (tónicos) seguidos de consoante nasal  <m>, <n> ou <nh>",a(?=(m|n|nh)),ɐ,Origin Word: ˈramu -> Processed Word: ˈrɐmu
T52,Seleciona todos os <o> tónicos,(?<=ˈ(b|c|ch|d|f|g|ʒ|l|lh|m|n|nh|p|q|r|rr|ss|s|t|v|x|z|pr|br|tr|dr|kr|gr|fr|vr|pl|bl|kl|gl|fl))o(?![ju])(?!õô),/O/,Origin Word: ˈdocɨ -> Processed Word: ˈd/O/cɨ
T53,Seleciona todos os <o> tónicos em fronteira inicial de palavra,(?<=ˈ)o(?![ju])(?!õ),/O/,Origin Word: ˈoʒɨ -> Processed Word: ˈ/O/ʒɨ
T54,Seleciona todos os <ô>,ô,o,Origin Word: ˈpôr -> Processed Word: ˈpor
T55,Seleciona todos os <ou>,ou,o,Origin Word: ouˈvir -> Processed Word: oˈvir
T56,Seleciona todos os <e> tónicos,(?<=ˈ(b|c|ch|d|f|g|gu|ʒ|l|lh|m|n|nh|p|q|qu|r|rr|ss|s|t|v|x|z|pr|br|tr|dr|kr|gr|fr|vr|pl|bl|kl|gl|fl))e(?![̃w]),/E/,Origin Word: ˈvez -> Processed Word: ˈv/E/z
T57,Seleciona todos os <e> tónicos em fronteira inicial de palavra,(?<=ˈ)e(?![̃w]),/E/,Origin Word: ˈestɨ -> Processed Word: ˈ/E/stɨ
T58,Seleciona todos os <ê>,ê,e,Origin Word: purˈquê -> Processed Word: purˈque
T59,Seleciona todos os <ch>,ch,ʃ,Origin Word: ˈchɐ̃w̃ -> Processed Word: ˈʃɐ̃w̃
T60,Seleciona todos os <nh>,nh,ɲ,Origin Word: ˈbanhu -> Processed Word: ˈbaɲu
T61,Seleciona todos os <lh>,lh,ʎ,Origin Word: oˈlhar -> Processed Word: oˈʎar
T62,Seleciona todos os <x>,x,ʃ,Origin Word: puˈxar -> Processed Word: puˈʃar
T63,"Seleciona todos os <b> em posição intervocálica, à exceção dos que se encontram parecidos de vogal ou glide nasal",(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w))b(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),β,Origin Word: ˈsabɐdu -> Processed Word: ˈsaβɐdu
T64,"Seleciona todos os <b> em ataque de sílaba tónica, em posição intervocálica, à exceção dos que se encontram parecidos de vogal ou glide nasal",(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|o|ɔ|/O/|u|j|w)ˈ)b(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),β,Origin Word: sɐˈbor -> Processed Word: sɐˈβor
T65,"Seleciona todos os <d> em posição intervocálica tónica, à exceção dos que se encontram parecidos de vogal ou glide nasal",(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w))d(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),ð,Origin Word: ˈmodu -> Processed Word: ˈmoðu
T66,"Seleciona todos os <d> em posição intervocálica tónica, à exceção dos que se encontram parecidos de vogal ou glide nasal",(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|o|ɔ|/O/|u|j|w)ˈ)d(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),ð,Origin Word: ɐˈduɫtu -> Processed Word: ɐˈðuɫtu
T67,Seleciona todos os <g> seguidos de <e> ou <i>,g(?=(ɐj|ɐ̃j̃|e|ɛ|/E/|ẽ|i|ĩ|ɨ)),ʒ,Origin Word: fuˈgir -> Processed Word: fuˈʒir
T68,Seleciona todos os <gu> seguidos de <e> ou <i>,gu(?=(ɐj|ɐ̃j̃|e|ɛ|/E/|ẽ|i|ĩ|ɨ)),g,Origin Word: ˈguerrɐ -> Processed Word: ˈgerrɐ
T69,Seleciona todos os <gu> seguidos de <a>,gu(?=(a|ɐ|ɐ̃)),gʷ,Origin Word: iˈguaɫ -> Processed Word: iˈgʷaɫ
